GO term,Description,P-value,FDR q-value,"Enrichment (N, B, n, b)",Genes
GO:0000184,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",2.85E-28,2.09E-24,"4.48 (2150,115,263,63)",[+] Show genes
GO:0019083,viral transcription,2.10E-27,7.72E-24,"5.02 (2150,88,263,54)",[+] Show genes
GO:0006613,cotranslational protein targeting to membrane,2.65E-27,6.50E-24,"4.63 (2150,90,294,57)",[+] Show genes
GO:0006413,translational initiation,2.99E-27,5.50E-24,"4.12 (2150,133,263,67)",[+] Show genes
GO:0006614,SRP-dependent cotranslational protein targeting to membrane,5.96E-27,8.76E-24,"4.65 (2150,88,294,56)",[+] Show genes
GO:0070972,protein localization to endoplasmic reticulum,6.37E-27,7.80E-24,"4.58 (2150,91,294,57)",[+] Show genes
GO:0072599,establishment of protein localization to endoplasmic reticulum,6.37E-27,6.69E-24,"4.58 (2150,91,294,57)",[+] Show genes
GO:0045047,protein targeting to ER,6.37E-27,5.85E-24,"4.58 (2150,91,294,57)",[+] Show genes
GO:0006612,protein targeting to membrane,1.50E-26,1.23E-23,"4.53 (2150,92,294,57)",[+] Show genes
GO:0006605,protein targeting,3.26E-25,2.40E-22,"4.23 (2150,102,294,59)",[+] Show genes
GO:0090150,establishment of protein localization to membrane,7.72E-25,5.16E-22,"4.24 (2150,100,294,58)",[+] Show genes
GO:0072657,protein localization to membrane,7.58E-22,4.64E-19,"3.86 (2150,110,294,58)",[+] Show genes
GO:0072594,establishment of protein localization to organelle,2.24E-21,1.27E-18,"3.52 (2150,133,294,64)",[+] Show genes
GO:0000956,nuclear-transcribed mRNA catabolic process,5.08E-20,2.67E-17,"3.22 (2150,175,263,69)",[+] Show genes
GO:0006412,translation,6.15E-19,3.02E-16,"3.02 (2150,172,294,71)",[+] Show genes
GO:0043604,amide biosynthetic process,8.29E-19,3.81E-16,"2.95 (2150,181,294,73)",[+] Show genes
GO:0006518,peptide metabolic process,1.24E-18,5.36E-16,"2.93 (2150,182,294,73)",[+] Show genes
GO:0043043,peptide biosynthetic process,1.41E-18,5.76E-16,"2.98 (2150,174,294,71)",[+] Show genes
GO:0043603,cellular amide metabolic process,1.54E-18,5.95E-16,"2.87 (2150,191,294,75)",[+] Show genes
GO:0006402,mRNA catabolic process,3.95E-18,1.45E-15,"3.00 (2150,191,263,70)",[+] Show genes
GO:0033365,protein localization to organelle,5.35E-18,1.87E-15,"2.99 (2150,169,294,69)",[+] Show genes
GO:1901566,organonitrogen compound biosynthetic process,1.17E-16,3.90E-14,"2.69 (2150,217,280,76)",[+] Show genes
GO:0009057,macromolecule catabolic process,1.87E-16,5.99E-14,"2.32 (2150,279,315,95)",[+] Show genes
GO:0044265,cellular macromolecule catabolic process,1.97E-16,6.03E-14,"2.35 (2150,270,315,93)",[+] Show genes
GO:0006886,intracellular protein transport,6.21E-16,1.83E-13,"2.92 (2150,182,263,65)",[+] Show genes
GO:0006401,RNA catabolic process,7.78E-16,2.20E-13,"3.04 (2150,215,204,62)",[+] Show genes
