id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
UPF2	4	1.0	1.0	0.999998	2190	0	2.784	4.1236e-08	2.2605e-06	0.00165	1	4	2.784
RPL12	4	1.0	1.0	0.999998	2189	0	2.9256	1.4763e-07	2.2605e-06	0.00165	2	4	2.9256
EIF2S3	4	0.5951	0.66922	0.999998	1337	1	3.7772	3.4383e-07	2.2605e-06	0.00165	3	3	3.7772
RPL8	4	0.99999	1.0	0.999998	2188	0	1.652	5.8701e-06	3.3908e-05	0.012023	4	4	1.652
PHB	4	0.99002	0.99012	0.999998	2117	0	3.0105	6.2478e-06	3.3908e-05	0.012023	5	4	3.0105
RARS	4	0.99999	0.99999	0.999998	2187	0	1.8397	7.9384e-06	3.8429e-05	0.012023	6	4	1.8397
EIF2B4	3	0.99999	0.99999	0.999998	2186	0	2.8036	7.9702e-06	3.8429e-05	0.012023	7	3	2.8036
ATP5A1	4	0.99998	0.99999	0.999998	2185	0	1.9325	1.6811e-05	6.5555e-05	0.017946	8	4	1.9325
UPF1	4	0.99997	0.99998	0.999998	2184	0	1.5726	2.506e-05	8.816e-05	0.020297	9	4	1.5726
RPL35A	4	0.99997	0.99998	0.999998	2183	0	1.9668	2.5593e-05	9.2681e-05	0.020297	10	4	1.9668
BRF1	4	0.99996	0.99997	0.999998	2182	0	1.956	3.5109e-05	0.00011981	0.023852	11	4	1.956
EIF2B3	4	0.87956	0.87906	0.999998	1820	0	1.9967	5.8307e-05	0.00019666	0.035891	12	3	1.9967
RPL15	4	0.9991	0.99924	0.999998	2170	0	1.9186	6.1899e-05	0.00021475	0.036177	13	4	1.9186
RPL19	4	0.99993	0.99994	0.999998	2181	0	1.6723	6.9827e-05	0.00025092	0.03925	14	4	1.6723
SMG1	4	0.99992	0.99993	0.999998	2180	0	1.1479	8.4118e-05	0.00030517	0.044554	15	4	1.1479
RPL3	4	0.96285	0.9633	0.999998	2019	0	2.438	9.4807e-05	0.00034134	0.04672	16	3	2.438
EIF2S2	3	0.9999	0.99993	0.999998	2179	0	2.3953	0.00010044	0.00040915	0.052708	17	3	2.3953
RPLP0	4	0.99987	0.99988	0.999998	2178	0	1.8734	0.00012791	0.00049053	0.059681	18	4	1.8734
ATP5C1	4	0.99986	0.99987	0.999998	2177	0	1.8939	0.00013776	0.00053574	0.061751	19	4	1.8939
RPL23	3	0.99983	0.99986	0.999998	2176	0	1.4786	0.00016816	0.00060355	0.066089	20	3	1.4786
UPF3B	4	0.99978	0.9998	0.999998	2175	0	1.2393	0.00021815	0.00088386	0.092174	21	4	1.2393
HARS	4	0.53657	0.6412	0.999998	1269	1	1.7716	0.00024399	0.0010285	0.100517	22	3	1.7716
NOL8	4	0.9989	0.99906	0.999998	2166	0	1.1968	0.00024889	0.0010557	0.100517	23	4	1.1968
RPLP2	4	0.99843	0.99845	0.999998	2164	0	2.0956	0.00028363	0.0011777	0.103564	24	4	2.0956
FARSB	4	0.9796	0.9799	0.999998	2082	0	1.6298	0.00028458	0.0011822	0.103564	25	4	1.6298
HSPA5	3	0.99955	0.9996	0.999998	2174	0	2.6393	0.00045169	0.0014445	0.121668	26	3	2.6393
ETF1	4	0.99941	0.99943	0.999998	2173	0	1.9731	0.00059043	0.0022989	0.174633	27	4	1.9731
XPO1	4	0.99941	0.99943	0.999998	2172	0	1.1521	0.00059232	0.0023125	0.174633	28	4	1.1521
RPL32	3	0.99939	0.99944	0.999998	2171	0	1.46	0.00060747	0.0019508	0.158232	29	3	1.46
RPL11	4	0.96568	0.96603	0.999998	2028	0	1.7256	0.00062354	0.00243	0.176516	30	3	1.7256
EIF2S1	4	0.99725	0.99733	0.999998	2160	0	2.4893	0.00063902	0.0025024	0.176516	31	4	2.4893
HSPA9	4	0.45318	0.59988	0.999998	1188	1	1.615	0.00067093	0.0025792	0.176516	32	3	1.615
RNMT	4	0.11945	0.24778	0.967941	545	1	1.439	0.00074399	0.0028414	0.180339	33	3	1.439
GEMIN2	4	0.9418	0.94188	0.999998	1959	0	0.62531	0.00074652	0.002846	0.180339	34	3	0.62531
NUSAP1	3	0.22721	0.34815	0.999998	760	1	0.016103	0.00093313	0.0028821	0.180339	35	1	0.016103
RPL17-C18ORF32	4	0.99907	0.99922	0.999998	2169	0	1.6921	0.00093356	0.0036236	0.19476	36	4	1.6921
AARS	4	0.99539	0.99558	0.999998	2145	0	1.4531	0.00096573	0.0037773	0.196959	37	4	1.4531
RPL35	3	0.39906	0.49133	0.999998	1081	1	2.3577	0.0010257	0.0031534	0.186425	38	2	2.3577
DDX27	4	0.99897	0.99912	0.999998	2168	0	1.0323	0.0010273	0.0040079	0.204122	39	4	1.0323
LARS	3	0.91589	0.91663	0.999998	1898	0	2.6677	0.0010394	0.003185	0.186425	40	2	2.6677
DDX47	3	0.99894	0.99906	0.999998	2167	0	1.4192	0.0010571	0.0032348	0.186425	41	3	1.4192
RPS11	4	0.99591	0.99602	0.999998	2152	0	1.7701	0.0011064	0.0042836	0.213209	42	4	1.7701
RPL37	3	0.99886	0.99896	0.999998	2165	0	1.738	0.0011405	0.0034699	0.19476	43	3	1.738
EIF2B5	3	0.58497	0.61099	0.999998	1323	1	1.8913	0.0012105	0.0036462	0.19476	44	2	1.8913
UTP6	4	0.97371	0.97411	0.999998	2050	0	1.4328	0.0014339	0.0054139	0.252265	45	3	1.4328
EIF3B	3	0.98072	0.98124	0.999998	2087	0	2.0519	0.0015576	0.0047719	0.229552	46	3	2.0519
RPL18	4	0.97917	0.97945	0.999998	2080	0	1.2875	0.0015607	0.0058389	0.260962	47	3	1.2875
RPS3A	3	0.99842	0.99852	0.999998	2163	0	1.1393	0.0015782	0.0048216	0.229552	48	3	1.1393
RPL21	4	0.97651	0.97696	0.999998	2063	0	1.4079	0.0017273	0.0064447	0.274086	49	3	1.4079
HIBADH	4	0.51525	0.6318	0.999998	1245	1	0.587	0.0017412	0.0064899	0.274086	50	3	0.587
DARS	4	0.65129	0.69847	0.999998	1410	1	1.5278	0.0018274	0.0067521	0.279002	51	3	1.5278
RPL27	3	0.9949	0.99502	0.999998	2143	0	1.914	0.0019103	0.0056942	0.259798	52	3	1.914
MRPL53	4	0.99803	0.99813	0.999998	2162	0	0.88584	0.0019733	0.0072494	0.294004	53	4	0.88584
WBSCR22	3	0.99782	0.99795	0.999998	2161	0	1.0134	0.0021841	0.006508	0.274086	54	3	1.0134
DIS3L2	4	0.97657	0.97702	0.999998	2064	0	1.4544	0.002198	0.0080677	0.321242	55	3	1.4544
NXF1	4	0.93017	0.92998	0.999998	1934	0	1.128	0.0023851	0.0087007	0.340258	56	3	1.128
EIF2B2	4	0.15772	0.301	0.999998	631	1	1.7509	0.0026258	0.009528	0.366076	57	3	1.7509
EIF3CL	4	0.98157	0.98179	0.999998	2088	0	1.1858	0.0027352	0.0098852	0.369224	58	4	1.1858
NARS	4	0.99722	0.99731	0.999998	2159	0	1.5189	0.002777	0.010061	0.369224	59	4	1.5189
C9ORF114	4	0.99686	0.99698	0.999998	2158	0	0.64491	0.0031431	0.011377	0.383321	60	4	0.64491
UTP14C	4	0.13919	0.28128	0.998176	599	1	1.2849	0.0033864	0.012204	0.383663	61	3	1.2849
SMG7	4	0.96352	0.96394	0.999998	2022	0	1.2651	0.0035279	0.01267	0.39081	62	3	1.2651
XIRP1	3	0.99646	0.99671	0.999998	2157	0	1.2078	0.0035393	0.010116	0.369224	63	3	1.2078
NCL	4	0.99631	0.99642	0.999998	2156	0	1.1039	0.0036911	0.013208	0.393314	64	4	1.1039
RPL31	3	0.99615	0.99633	0.999998	2155	0	1.1208	0.0038516	0.01092	0.383321	65	3	1.1208
PSMC2	3	0.99608	0.99628	0.999998	2154	0	1.9981	0.0039161	0.011133	0.383321	66	3	1.9981
RPL24	4	0.97987	0.98016	0.999998	2084	0	1.5801	0.0039331	0.013927	0.393314	67	4	1.5801
RPS9	3	0.44466	0.51817	0.999998	1174	1	1.7591	0.0039581	0.011251	0.383321	68	2	1.7591
RPS24	4	0.78054	0.78539	0.999998	1620	1	1.3512	0.0040034	0.014148	0.393314	69	3	1.3512
RPS8	4	0.99599	0.99611	0.999998	2153	0	1.3018	0.0040064	0.014162	0.393314	70	4	1.3018
POP7	4	0.85799	0.85731	0.999998	1776	0	1.1314	0.004046	0.014293	0.393314	71	3	1.1314
RPS19	4	0.99256	0.99252	0.999998	2131	0	1.442	0.0041253	0.014555	0.393314	72	4	1.442
RPL4	4	0.051973	0.12669	0.835724	325	1	1.1825	0.004132	0.014569	0.393314	73	3	1.1825
PSMA1	3	0.99586	0.99608	0.999998	2151	0	0.77011	0.004143	0.011789	0.383663	74	3	0.77011
