id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
AQR	4	1.0	1.0	0.999998	2189	0	3.9439	6.5633e-11	2.2615e-06	0.00033	1	4	3.9439
CWC22	4	1.0	1.0	0.999998	2188	0	2.9268	9.1696e-10	2.2615e-06	0.00033	2	4	2.9268
DHX38	4	1.0	1.0	0.999998	2187	0	2.1742	5.0082e-09	2.2615e-06	0.00033	3	4	2.1742
CRNKL1	4	1.0	1.0	0.999998	2186	0	2.1624	7.4738e-09	2.2615e-06	0.00033	4	4	2.1624
DGCR14	4	1.0	1.0	0.999998	2185	0	2.4018	1.7951e-08	2.2615e-06	0.00033	5	4	2.4018
BUD13	4	1.0	1.0	0.999998	2184	0	1.8262	3.0539e-08	2.2615e-06	0.00033	6	4	1.8262
CWC25	4	1.0	1.0	0.999998	2183	0	1.7586	4.2499e-08	2.2615e-06	0.00033	7	4	1.7586
CDC40	4	1.0	1.0	0.999998	2182	0	2.6539	5.5808e-08	2.2615e-06	0.00033	8	4	2.6539
XAB2	4	1.0	1.0	0.999998	2181	0	2.0863	1.2793e-07	2.2615e-06	0.00033	9	4	2.0863
PRPF18	4	1.0	1.0	0.999998	2180	0	2.1475	1.6574e-07	2.2615e-06	0.00033	10	4	2.1475
CACTIN	4	1.0	1.0	0.999998	2179	0	1.4507	1.8301e-07	2.2615e-06	0.00033	11	4	1.4507
TFIP11	4	1.0	1.0	0.999998	2178	0	2.0786	2.5998e-07	2.2615e-06	0.00033	12	4	2.0786
PPWD1	4	1.0	1.0	0.999998	2177	0	2.0727	3.0982e-07	2.2615e-06	0.00033	13	4	2.0727
DNAJC17	3	1.0	1.0	0.999998	2176	0	2.0531	6.5068e-07	2.2615e-06	0.00033	14	3	2.0531
SRRM2	4	1.0	1.0	0.999998	2175	0	1.3478	1.4121e-06	2.2615e-06	0.00033	15	4	1.3478
CWC15	4	1.0	1.0	0.999998	2174	0	1.4166	1.631e-06	6.7846e-06	0.000874	16	4	1.4166
RNF113A	3	1.0	1.0	0.999998	2173	0	2.8743	2.0549e-06	1.1308e-05	0.001375	17	3	2.8743
IPO13	4	1.0	0.99999	0.999998	2172	0	0.98116	2.6024e-06	6.7846e-06	0.000874	18	4	0.98116
ISY1	3	1.0	1.0	0.999998	2171	0	2.5297	4.8166e-06	2.0354e-05	0.002345	19	3	2.5297
DHX16	3	0.99999	1.0	0.999998	2170	0	1.6679	5.2626e-06	2.4877e-05	0.002723	20	3	1.6679
DDX41	4	0.94341	0.94377	0.999998	1957	0	2.2782	6.7723e-06	2.94e-05	0.003065	21	3	2.2782
USP39	4	0.99999	0.99998	0.999998	2169	0	1.1221	9.1275e-06	3.8446e-05	0.003659	22	4	1.1221
DHX8	3	0.99999	0.99999	0.999998	2168	0	1.8691	9.3441e-06	3.8446e-05	0.003659	23	3	1.8691
PSMB3	4	0.99999	0.99996	0.999998	2167	0	1.5058	1.3651e-05	5.6538e-05	0.005157	24	4	1.5058
PLRG1	4	0.99998	0.99996	0.999998	2166	0	0.94698	1.753e-05	6.1061e-05	0.005347	25	4	0.94698
WDR83	4	0.99998	0.99996	0.999998	2165	0	0.76414	2.3519e-05	7.0108e-05	0.005684	26	4	0.76414
LSM4	4	0.99998	0.99996	0.999998	2164	0	0.9873	2.3691e-05	7.0108e-05	0.005684	27	4	0.9873
RBM22	4	0.99995	0.99994	0.999998	2163	0	0.82443	4.5854e-05	0.00015152	0.011846	28	4	0.82443
PPIL4	4	0.99449	0.99457	0.999998	2112	0	1.6753	7.9382e-05	0.0002646	0.019307	29	4	1.6753
SNW1	4	0.99805	0.99812	0.999998	2132	0	1.6464	8.9671e-05	0.00029174	0.0206	30	4	1.6464
CWF19L2	3	0.99991	0.99994	0.999998	2162	0	1.2594	9.1722e-05	0.0003822	0.026145	31	3	1.2594
MFAP1	4	0.99989	0.99989	0.999998	2161	0	0.75231	0.00011382	0.00039577	0.026253	32	4	0.75231
SLU7	2	0.99988	0.99988	0.999998	2160	0	1.9839	0.00011698	0.0002646	0.019307	33	2	1.9839
PPIE	3	0.99963	0.99966	0.999998	2158	0	1.8901	0.00014194	0.00054503	0.03509	34	3	1.8901
